,Player,Team,Pos,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
134,Nick Bellore,SEA,RB,1.6,6.6,0.0,4.4,32.0,0.3,0.0,8.1
135,Khalil Herbert,CHI,RB,8.3,34.4,0.2,2.0,16.3,0.1,0.0,7.8
136,Gabe Nabers,LAC,RB,3.3,14.4,0.1,3.2,25.1,0.2,0.1,7.4
137,Michael Warren II,DET,RB,7.7,31.4,0.2,2.3,16.7,0.1,0.0,7.3
138,Keith Smith,ATL,RB,3.2,13.7,0.1,3.4,26.1,0.2,0.1,7.1
139,Andy Janovich,CLE,RB,1.2,5.3,0.0,4.0,33.2,0.2,0.0,7.0
140,Ben Mason,BAL,RB,0.0,0.0,0.0,3.5,27.7,0.2,0.0,5.8
141,Patrick Laird,MIA,RB,2.8,11.6,0.1,2.7,19.8,0.1,0.0,5.2
142,Derek Watt,PIT,RB,4.2,17.9,0.1,1.7,12.2,0.1,0.0,5.2
143,Alex Collins,SEA,RB,4.8,20.2,0.2,1.4,10.6,0.0,0.1,5.1
144,Darwin Thompson,KC,RB,3.9,16.5,0.2,1.7,12.3,0.1,0.0,4.9
145,Michael Burton,KC,RB,3.3,13.9,0.1,1.9,14.8,0.1,0.0,4.8
146,Dwayne Washington,NO,RB,4.7,20.0,0.1,1.5,11.6,0.0,0.0,4.7
147,Antonio Williams,BUF,RB,6.4,27.5,0.2,0.4,3.2,0.0,0.0,4.5
148,Khari Blasingame,TEN,RB,0.5,2.1,0.0,2.3,19.5,0.1,0.0,3.8
149,Elijhaa Penny,NYG,RB,2.5,10.3,0.1,1.5,10.9,0.0,0.0,3.5
150,Jakob Johnson,NE,RB,0.0,0.0,0.0,2.2,18.7,0.1,0.0,3.3
151,Corey Clement,NYG,RB,4.2,17.5,0.2,0.5,3.6,0.0,0.0,3.3
152,Dare Ogunbowale,JAC,RB,2.1,8.8,0.0,1.4,9.4,0.0,0.0,2.5
153,Jonathan Williams,WAS,RB,2.3,9.8,0.0,0.9,7.0,0.0,0.0,2.1
154,Devine Ozigbo,JAC,RB,2.7,11.8,0.1,0.4,3.1,0.0,0.0,2.0
155,Kalen Ballage,PIT,RB,2.1,8.5,0.0,1.0,5.7,0.0,0.0,1.9
156,Taiwan Jones,BUF,RB,1.1,4.7,0.0,0.9,7.2,0.0,0.0,1.6
157,C.J. Prosise,TB,RB,0.9,3.6,0.0,1.0,7.0,0.0,0.0,1.5
158,Elijah McGuire,KC,RB,0.9,3.5,0.0,0.9,7.2,0.0,0.0,1.5
168,Scottie Phillips,HOU,RB,0.8,3.5,0.0,0.9,5.9,0.0,0.0,1.4
167,Damarea Crockett,DEN,RB,1.0,4.2,0.0,0.9,5.5,0.0,0.0,1.4
166,Nathan Cottrell,JAC,RB,0.9,3.6,0.0,0.9,6.2,0.0,0.0,1.4
165,LeVante Bellamy,DEN,RB,1.0,4.4,0.0,0.9,5.5,0.0,0.0,1.4
164,Austin Walter,NYJ,RB,0.9,3.6,0.0,0.9,6.3,0.0,0.0,1.4
163,Jason Huntley,PHI,RB,0.9,3.9,0.0,0.9,6.0,0.0,0.0,1.4
162,Adrian Killins Jr.,PHI,RB,0.9,3.9,0.0,0.9,6.0,0.0,0.0,1.4
161,Jason Cabinda,DET,RB,0.8,3.5,0.0,0.9,6.1,0.0,0.0,1.4
160,Artavis Pierce,CHI,RB,0.9,3.8,0.0,0.9,6.3,0.0,0.0,1.4
159,Ryan Nall,CHI,RB,0.9,3.7,0.0,0.9,6.5,0.0,0.0,1.4
169,Jordan Scarlett,MIA,RB,0.9,3.9,0.0,0.9,5.3,0.0,0.0,1.3
170,Taquan Mizzell,NYG,RB,0.9,3.7,0.0,0.9,5.4,0.0,0.0,1.3
171,Trenton Cannon,CAR,RB,1.0,4.0,0.0,0.8,5.0,0.0,0.0,1.3
172,Cullen Gillaspia,NYG,RB,0.9,3.7,0.0,0.9,5.2,0.0,0.0,1.3
173,Tony Jones Jr.,NO,RB,0.9,0.7,0.0,0.2,0.4,0.0,0.0,0.2
