,Player,Team,Pos,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
86,Tommy Tremble,CAR,TE,8.6,85.3,0.4,0.5,14.2
87,Caleb Wilson,PHI,TE,6.8,66.9,0.6,0.0,13.7
88,Tommy Sweeney,BUF,TE,6.0,75.7,0.5,0.0,13.6
89,J.P. Holtz,CHI,TE,5.9,73.4,0.5,0.0,13.3
90,Tre' McKitty,LAC,TE,7.0,75.3,0.4,0.0,13.3
91,Johnny Mundt,LAR,TE,6.3,66.9,0.6,0.0,13.1
92,Evan Baylis,KC,TE,6.5,67.5,0.5,0.0,13.0
93,Stephen Anderson,LAC,TE,5.9,73.2,0.4,0.0,12.9
94,Colby Parkinson,SEA,TE,5.9,61.4,0.6,0.1,12.8
95,Jake Butt,CHI,TE,6.9,60.2,0.5,0.0,12.5
96,Temarrick Hemingway,WAS,TE,6.3,63.9,0.5,0.0,12.4
98,Troy Fumagalli,NE,TE,6.4,52.5,0.6,0.0,12.0
97,Jeremy Sprinkle,DAL,TE,6.0,62.3,0.5,0.0,12.0
99,Richard Rodgers,PHI,TE,4.9,64.5,0.5,0.0,11.8
100,Charlie Woerner,SF,TE,5.4,64.2,0.4,0.0,11.7
101,Matt LaCosse,NE,TE,5.8,55.9,0.5,0.0,11.5
102,Jaeden Graham,ATL,TE,5.3,65.6,0.3,0.0,11.1
103,Deon Yelder,WAS,TE,5.8,50.9,0.5,0.0,10.8
104,Ben Ellefson,JAC,TE,5.1,54.7,0.4,0.0,10.1
105,Kylen Granson,IND,TE,5.2,56.1,0.1,0.0,8.9
106,Ricky Seals-Jones,WAS,TE,3.8,47.0,0.3,0.0,8.6
107,Josh Oliver,BAL,TE,4.0,41.6,0.4,0.0,8.5
108,Ross Travis,ARI,TE,3.9,42.6,0.4,0.0,8.3
109,Noah Togiai,IND,TE,3.9,42.9,0.3,0.1,8.1
110,Nick Keizer,KC,TE,4.2,44.5,0.2,0.0,7.9
111,Alize Mack,DET,TE,4.0,39.3,0.2,0.0,7.1
112,Mason Schreck,CIN,TE,3.5,36.5,0.3,0.0,6.9
113,Jared Pinkney,TEN,TE,3.4,33.6,0.3,0.0,6.8
114,Zach Gentry,PIT,TE,2.7,28.5,0.2,0.0,5.5
115,Dominique Dafney,GB,TE,2.4,25.8,0.2,0.0,5.0
116,Garrett Griffin,NO,TE,2.3,25.8,0.2,0.0,4.8
117,Brandon Dillon,MIN,TE,2.2,23.8,0.2,0.0,4.5
118,Jesper Horsted,CHI,TE,2.3,24.3,0.1,0.0,4.4
119,Cethan Carter,MIA,TE,2.5,24.2,0.1,0.0,4.3
120,Eric Saubert,DEN,TE,2.3,22.6,0.1,0.0,4.2
121,Kaden Smith,NYG,TE,2.5,22.0,0.1,0.0,4.2
122,Tanner Hudson,TB,TE,1.5,15.7,0.1,0.0,3.2
123,Lee Smith,ATL,TE,1.5,14.3,0.1,0.0,2.8
124,Trevon Wesco,NYJ,TE,1.4,14.3,0.1,0.0,2.5
125,Eric Tomlinson,BAL,TE,1.2,11.7,0.1,0.0,2.2
126,Codey McElroy,TB,TE,0.9,8.5,0.1,0.0,1.8
127,Isaac Nauta,GB,TE,0.8,8.4,0.1,0.0,1.7
128,Kevin Rader,PIT,TE,0.9,8.7,0.0,0.0,1.6
129,Sean McKeon,DAL,TE,0.9,9.7,0.0,0.0,1.5
130,Daniel Brown,NYJ,TE,0.9,8.5,0.0,0.0,1.4
131,Tyrone Swoopes,WAS,TE,0.9,9.6,0.0,0.0,1.4
132,MyCole Pruitt,SF,TE,0.9,8.5,0.0,0.0,1.3
133,Jordan Franks,CLE,TE,0.8,8.2,0.0,0.0,1.3
134,Tim Tebow,JAC,TE,0.9,8.4,0.0,0.0,1.3
135,Hakeem Butler,PHI,TE,0.8,8.3,0.0,0.0,1.2
136,Antony Auclair,HOU,TE,0.8,7.9,0.0,0.0,1.2
137,Jason Croom,PHI,TE,0.7,8.4,0.0,0.0,1.2
138,Levine Toilolo,NYG,TE,0.8,7.4,0.0,0.0,1.1
139,Cole Hikutini,NYG,TE,0.8,7.2,0.0,0.0,1.1
140,Colin Thompson,CAR,TE,0.7,6.8,0.0,0.0,1.0
